cik,ticker,company_name,sector
0001108524,CRM,"Salesforce, Inc.",SaaS / Cloud Software
0000796343,ADBE,Adobe Inc.,SaaS / Cloud Software
0001373715,NOW,"ServiceNow, Inc.",SaaS / Cloud Software
0001327811,WDAY,"Workday, Inc.",SaaS / Cloud Software
0001404655,HUBS,HubSpot Inc,SaaS / Cloud Software
0001650372,TEAM,Atlassian Corp,SaaS / Cloud Software
0001561550,DDOG,"Datadog, Inc.",SaaS / Cloud Software
0001640147,SNOW,Snowflake Inc.,SaaS / Cloud Software
0001713683,ZS,"Zscaler, Inc.",SaaS / Cloud Software
0001535527,CRWD,"CrowdStrike Holdings, Inc.",SaaS / Cloud Software
