ticker,field,issue_type,period_end_date,details
CRM,revenue,tag_fallback,,"Primary tag 'Revenues' didn't cover every year; filled gaps from ['RevenueFromContractWithCustomerExcludingAssessedTax'] (period-by-period, only for dates the higher-priority tag never reports)."
CRM,operating_income,restatement,2017-01-31,Value changed across filings: 64228000 (filed 2017-03-06) -> 218000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,operating_income,restatement,2018-01-31,Value changed across filings: 235768000 (filed 2018-03-09) -> 454000000 (filed 2020-03-05). Keeping the later filing's value.
CRM,net_income,restatement,2017-01-31,Value changed across filings: 179632000 (filed 2017-03-06) -> 323000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,net_income,restatement,2018-01-31,Value changed across filings: 127478000 (filed 2018-03-09) -> 360000000 (filed 2020-03-05). Keeping the later filing's value.
CRM,income_tax_expense,restatement,2017-01-31,Value changed across filings: -154249000 (filed 2017-03-06) -> -144000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,income_tax_expense,restatement,2018-01-31,Value changed across filings: 74630000 (filed 2018-03-09) -> 60000000 (filed 2020-03-05). Keeping the later filing's value.
CRM,pretax_income,tag_fallback,,"Primary tag 'IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest' didn't cover every year; filled gaps from ['IncomeLossFromContinuingOperationsBeforeIncomeTaxesMinorityInterestAndIncomeLossFromEquityMethodInvestments'] (period-by-period, only for dates the higher-priority tag never reports)."
CRM,pretax_income,restatement,2017-01-31,Value changed across filings: 25383000 (filed 2017-03-06) -> 179000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,pretax_income,restatement,2018-01-31,Value changed across filings: 202108000 (filed 2018-03-09) -> 420000000 (filed 2020-03-05). Keeping the later filing's value.
CRM,interest_expense,tag_fallback,,"Primary tag 'InterestExpense' didn't cover every year; filled gaps from ['InterestExpenseDebt'] (period-by-period, only for dates the higher-priority tag never reports)."
CRM,interest_expense,restatement,2017-01-31,Value changed across filings: 88988000 (filed 2017-03-06) -> 89000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,interest_expense,restatement,2018-01-31,Value changed across filings: 86943000 (filed 2018-03-09) -> 87000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,interest_expense,restatement,2023-01-31,Value changed across filings: 287000000 (filed 2023-03-08) -> 300000000 (filed 2025-03-05). Keeping the later filing's value.
CRM,depreciation_amortization,tag_fallback,,"Primary tag 'DepreciationDepletionAndAmortization' didn't cover every year; filled gaps from ['DepreciationAndAmortization'] (period-by-period, only for dates the higher-priority tag never reports)."
CRM,depreciation_amortization,restatement,2017-01-31,Value changed across filings: 632245000 (filed 2017-03-06) -> 632000000 (filed 2019-03-08). Keeping the later filing's value.
CRM,capex,tag_fallback,,"Primary tag 'PaymentsToAcquirePropertyPlantAndEquipment' didn't cover every year; filled gaps from ['PaymentsToAcquireProductiveAssets'] (period-by-period, only for dates the higher-priority tag never reports)."
CRM,capex,restatement,2010-01-31,Value changed across filings: 53901000 (filed 2010-03-11) -> 49501000 (filed 2012-03-09). Keeping the later filing's value.
