id,cik,fiscal_year,period_end_date,revenue,operating_income,net_income,income_tax_expense,pretax_income,effective_tax_rate,interest_expense,depreciation_amortization,capex,operating_cash_flow,free_cash_flow,cash_and_equivalents,short_term_debt,long_term_debt,total_debt,diluted_shares_outstanding,filing_date
1,0000796343,2006,2006-12-01,,,,,,,,,,,,772500000,,,,,2010-01-22
2,0000796343,2007,2007-11-30,3157881000,857585000,723807000,223383000,947190000,0.23583758274475025,253000,315464000,132075000,1441053000,1308978000,946422000,,,,598775000,2011-01-27
3,0000796343,2008,2008-11-28,3579889000,1028271000,871814000,206694000,1078508000,0.1916480916228716,10019000,270269000,111792000,1280682000,1168890000,886450000,,350000000,350000000,548553000,2012-01-26
4,0000796343,2009,2009-11-27,2945853000,690513000,386508000,315012000,701520000,0.4490420800547383,3407000,282423000,119592000,1117794000,998202000,999487000,,1000000000,1000000000,530610000,2013-01-22
5,0000796343,2010,2010-12-03,3800000000,993074000,774680000,168471000,943151000,0.1786256919623687,56952000,292738000,169642000,1112995000,943353000,749891000,,,,525824000,2014-01-21
6,0000796343,2011,2011-12-02,4216258000,1099299000,832847000,202383000,1035230000,0.195495686948794,66952000,270205000,210294000,1543314000,1333020000,989500000,,,,503921000,2015-01-20
7,0000796343,2012,2012-11-30,4403677000,1180191000,832775000,286019000,1118794000,0.25564938675037585,67487000,299766000,271076000,1499580000,1228504000,1425052000,,,,502721000,2016-01-19
8,0000796343,2013,2013-11-29,4055240000,422723000,289985000,66156000,356141000,0.18575788802749474,67508000,321227000,188358000,1151686000,963328000,834556000,,,,513476000,2017-01-20
9,0000796343,2014,2014-11-28,4147065000,412685000,268395000,92981000,361376000,0.25729710882847784,59732000,313590000,148332000,1287482000,1139150000,1117400000,,,,508480000,2018-01-22
10,0000796343,2015,2015-11-27,4795511000,903095000,629551000,244230000,873781000,0.27950939651926515,64184000,339473000,184936000,1469502000,1284566000,876560000,,,,507164000,2019-01-25
11,0000796343,2016,2016-12-02,5854430000,1493602000,1168782000,266356000,1435138000,0.18559608901722344,70442000,331535000,203805000,2199728000,1995923000,1011315000,,,,504299000,2020-01-21
12,0000796343,2017,2017-12-01,7301505000,2168095000,1693954000,443687000,2137641000,0.20755917387437833,74402000,325997000,178122000,2912853000,2734731000,2306000000,,,,501123000,2021-01-15
13,0000796343,2018,2018-11-30,9030000000,2840000000,2591000000,203000000,2794000000,0.07265569076592698,89000000,346000000,267000000,4029000000,3762000000,1643000000,0,,0,497800000,2022-01-21
14,0000796343,2019,2019-11-29,11171000000,3268000000,2951000000,254000000,3205000000,0.07925117004680188,157000000,757000000,395000000,4422000000,4027000000,2650000000,3149000000,989000000,4138000000,491600000,2022-01-21
15,0000796343,2020,2020-11-27,12868000000,4237000000,5260000000,-1084000000,4176000000,-0.2595785440613027,116000000,757000000,419000000,5727000000,5308000000,4478000000,0,4117000000,4117000000,485500000,2023-01-17
16,0000796343,2021,2021-12-03,15785000000,5802000000,4822000000,883000000,5705000000,0.15477651183172655,113000000,788000000,348000000,7230000000,6882000000,3844000000,0,4123000000,4123000000,481000000,2024-01-17
17,0000796343,2022,2022-12-02,17606000000,6098000000,4756000000,1252000000,6008000000,0.20838881491344874,112000000,856000000,442000000,7838000000,7396000000,4236000000,500000000,3629000000,4129000000,470900000,2025-01-13
18,0000796343,2023,2023-12-01,19409000000,6650000000,5428000000,1371000000,6799000000,0.2016473010736873,113000000,872000000,360000000,7302000000,6942000000,7141000000,0,3634000000,3634000000,459100000,2026-01-15
19,0000796343,2024,2024-11-29,21505000000,6741000000,5560000000,1371000000,6931000000,0.19780695426345404,,857000000,183000000,8056000000,7873000000,7613000000,1500000000,4129000000,5629000000,449700000,2026-01-15
20,0000796343,2025,2025-11-28,23769000000,8706000000,7130000000,1604000000,8734000000,0.18365010304556903,,818000000,179000000,10031000000,9852000000,5431000000,0,6210000000,6210000000,427000000,2026-01-15
21,0001108524,2007,2007-01-31,,,,,,,,,,,,86608000,,,,,2010-03-11
22,0001108524,2008,2008-01-31,748700000,20309000,18356000,23385000,46213000,0.5060264427758423,46000,24219000,43552000,204275000,160723000,279095000,,,,122422000,2011-03-23
