id,cik,form_type,filing_date,accession_number
1,0001108524,10-Q,2009-08-25,0001193125-09-180950
2,0001108524,10-K,2013-03-08,0001193125-13-098852
3,0001108524,10-Q,2013-05-24,0001193125-13-235664
4,0001108524,10-Q,2013-08-30,0001193125-13-354101
5,0001108524,10-Q,2013-11-25,0001193125-13-453124
6,0001108524,10-K,2014-03-05,0001193125-14-084762
7,0001108524,10-Q,2014-05-30,0001445305-14-002370
8,0001108524,10-Q,2014-08-26,0001108524-14-000009
9,0001108524,10-Q,2014-11-26,0001108524-14-000023
10,0001108524,10-K,2015-03-06,0001108524-15-000008
11,0001108524,10-Q,2015-05-22,0001108524-15-000014
12,0001108524,10-Q,2015-08-25,0001108524-15-000025
13,0001108524,10-Q,2015-11-20,0001108524-15-000034
14,0001108524,10-K,2016-03-07,0001108524-16-000053
15,0001108524,8-K,2016-09-01,0001108524-16-000093
16,0001108524,10-Q,2016-05-20,0001108524-16-000066
17,0001108524,10-Q,2016-09-01,0001108524-16-000085
18,0001108524,10-Q,2016-11-21,0001108524-16-000128
19,0001108524,10-K,2017-03-06,0001108524-17-000006
20,0001108524,10-Q,2017-05-22,0001108524-17-000012
21,0001108524,10-Q,2017-08-25,0001108524-17-000020
22,0001108524,10-Q,2017-11-22,0001108524-17-000040
23,0001108524,10-K,2018-03-09,0001108524-18-000011
24,0001108524,10-Q,2018-05-31,0001108524-18-000035
25,0001108524,10-Q,2018-08-31,0001108524-18-000057
26,0001108524,10-Q,2018-11-28,0001108524-18-000087
27,0001108524,10-Q,2019-06-05,0001108524-19-000025
28,0001108524,10-Q,2019-08-23,0001108524-19-000052
29,0001108524,10-Q,2019-12-04,0001108524-19-000076
30,0001108524,10-K,2020-03-05,0001108524-20-000014
31,0001108524,10-Q,2020-06-01,0001108524-22-000007
32,0001108524,10-Q,2020-08-28,0001108524-20-000041
33,0001108524,10-Q,2020-12-04,0001108524-20-000047
34,0001108524,10-K,2021-03-17,0001108524-21-000014
35,0001108524,10-K,2021-03-17,0001108524-22-000008
36,0001108524,10-Q,2021-06-02,0001108524-21-000030
37,0001108524,10-Q,2021-08-27,0001108524-21-000047
38,0001108524,10-Q,2021-12-02,0001108524-21-000055
39,0001108524,10-K,2022-03-11,0001108524-22-000013
40,0001108524,10-Q,2022-06-01,0001108524-22-000022
41,0001108524,10-Q,2022-08-25,0001108524-22-000041
42,0001108524,10-Q,2022-12-01,0001108524-22-000060
43,0001108524,10-K,2023-03-08,0001108524-23-000011
44,0001108524,10-Q,2023-06-01,0001108524-23-000023
45,0001108524,10-Q,2023-08-31,0001108524-23-000040
46,0001108524,10-Q,2023-11-30,0001108524-23-000048
47,0001108524,10-K,2024-03-06,0001108524-24-000005
48,0001108524,10-Q,2024-05-30,0001108524-24-000009
49,0001108524,10-Q,2024-08-29,0001108524-24-000022
50,0001108524,10-Q,2024-12-04,0001108524-24-000034
51,0001108524,10-K,2025-03-05,0001108524-25-000006
52,0001108524,10-Q,2025-05-29,0001108524-25-000030
53,0001108524,10-Q,2025-09-04,0001108524-25-000088
54,0001108524,10-Q,2025-12-04,0001108524-25-000238
55,0001108524,10-K,2026-03-02,0001108524-26-000060
56,0001108524,10-Q,2026-05-28,0001108524-26-000127
57,0001108524,10-Q,2009-11-25,0001193125-09-242413
58,0001108524,10-K,2010-03-11,0001193125-10-053838
59,0001108524,10-Q,2010-05-28,0000950130-10-001306
60,0001108524,10-Q,2010-09-09,0001193125-10-207193
61,0001108524,10-Q,2010-11-24,0001193125-10-268895
62,0001108524,10-K,2011-03-23,0001193125-11-075314
63,0001108524,10-Q,2011-05-26,0001193125-11-151778
64,0001108524,10-Q,2011-09-06,0001193125-11-241110
65,0001108524,10-Q,2011-11-29,0001193125-11-324675
66,0001108524,10-K,2012-03-09,0001193125-12-107281
67,0001108524,10-Q,2012-05-25,0001193125-12-249119
68,0001108524,10-Q,2012-08-31,0001193125-12-377656
69,0001108524,10-Q,2012-11-28,0001193125-12-483959
70,0001108524,10-K,2019-03-08,0001108524-19-000009
71,0001108524,DEF 14A,2026-04-16,0001108524-26-000085
72,0000796343,10-Q,2009-06-26,0000796343-09-000026
73,0000796343,10-Q,2009-10-01,0000796343-09-000032
74,0000796343,10-K,2010-01-22,0000796343-10-000003
75,0000796343,10-Q,2010-04-09,0000796343-10-000007
76,0000796343,10-Q,2010-07-02,0000796343-10-000011
77,0000796343,10-Q,2010-10-08,0000796343-10-000014
78,0000796343,10-K,2011-01-27,0000796343-11-000003
79,0000796343,10-Q,2011-04-08,0000796343-11-000006
80,0000796343,10-Q,2011-06-29,0000796343-11-000010
81,0000796343,10-Q,2011-10-07,0000796343-11-000015
82,0000796343,10-K,2012-01-26,0000796343-12-000003
83,0000796343,10-Q,2012-03-30,0000796343-12-000013
84,0000796343,10-Q,2012-06-27,0000796343-12-000022
85,0000796343,10-Q,2012-09-27,0000796343-12-000029
86,0000796343,10-K,2013-01-22,0000796343-13-000008
87,0000796343,10-Q,2013-03-28,0000796343-13-000033
88,0000796343,10-Q,2013-06-28,0000796343-13-000044
89,0000796343,10-Q,2013-10-03,0000796343-13-000058
90,0000796343,10-K,2014-01-21,0000796343-14-000004
91,0000796343,10-Q,2014-03-28,0000796343-14-000023
92,0000796343,10-Q,2014-06-25,0000796343-14-000046
93,0000796343,10-Q,2014-09-25,0000796343-14-000092
94,0000796343,10-K,2015-01-20,0000796343-15-000022
95,0000796343,10-Q,2015-03-25,0000796343-15-000084
96,0000796343,10-Q,2015-06-24,0000796343-15-000151
97,0000796343,10-Q,2015-09-23,0000796343-15-000188
98,0000796343,10-K,2016-01-19,0000796343-16-000224
99,0000796343,10-Q,2016-03-30,0000796343-16-000290
100,0000796343,10-Q,2016-06-29,0000796343-16-000352
101,0000796343,10-Q,2016-09-27,0000796343-16-000395
102,0000796343,10-K,2017-01-20,0000796343-17-000031
103,0000796343,10-Q,2017-03-29,0000796343-17-000088
104,0000796343,10-Q,2017-06-28,0000796343-17-000130
105,0000796343,10-Q,2017-09-27,0000796343-17-000157
106,0000796343,10-K,2018-01-22,0000796343-18-000015
107,0000796343,10-Q,2018-03-28,0000796343-18-000065
108,0000796343,10-Q,2018-06-27,0000796343-18-000134
109,0000796343,10-Q,2018-09-26,0000796343-18-000160
110,0000796343,10-K,2019-01-25,0000796343-19-000019
111,0000796343,10-Q,2019-03-27,0000796343-19-000079
112,0000796343,10-Q,2019-06-26,0000796343-19-000142
113,0000796343,10-Q,2019-09-26,0000796343-19-000165
114,0000796343,10-K,2020-01-21,0000796343-20-000013
115,0000796343,10-Q,2020-03-25,0000796343-20-000064
116,0000796343,10-Q,2020-06-24,0000796343-20-000143
117,0000796343,10-Q,2020-09-23,0000796343-20-000201
118,0000796343,10-K,2021-01-15,0000796343-21-000004
119,0000796343,10-Q,2021-03-31,0000796343-21-000069
120,0000796343,10-Q,2021-06-30,0000796343-21-000159
121,0000796343,10-Q,2021-09-29,0000796343-21-000210
122,0000796343,10-K,2022-01-21,0000796343-22-000032
123,0000796343,10-Q,2022-03-30,0000796343-22-000099
124,0000796343,10-Q,2022-06-29,0000796343-22-000157
125,0000796343,10-Q,2022-09-28,0000796343-22-000196
126,0000796343,10-K,2023-01-17,0000796343-23-000007
127,0000796343,10-Q,2023-03-29,0000796343-23-000055
128,0000796343,10-Q,2023-06-28,0000796343-23-000153
129,0000796343,10-Q,2023-09-27,0000796343-23-000205
130,0000796343,10-K,2024-01-17,0000796343-24-000006
131,0000796343,10-Q,2024-03-27,0000796343-24-000065
132,0000796343,10-Q,2024-06-26,0000796343-24-000150
133,0000796343,10-Q,2024-09-25,0000796343-24-000208
134,0000796343,10-K,2025-01-13,0000796343-25-000004
135,0000796343,10-Q,2025-03-26,0000796343-25-000059
136,0000796343,10-Q,2025-06-25,0000796343-25-000073
137,0000796343,10-Q,2025-09-24,0000796343-25-000107
138,0000796343,10-K,2026-01-15,0000796343-26-000003
139,0000796343,10-Q,2026-03-25,0000796343-26-000056
140,0000796343,10-Q,2026-06-15,0000796343-26-000112
141,0001373715,10-Q,2012-08-10,0001193125-12-349586
142,0001373715,10-Q,2012-10-31,0001193125-12-443921
143,0001373715,10-K,2013-03-08,0001373715-13-000004
144,0001373715,10-Q,2013-05-08,0001373715-13-000013
145,0001373715,10-Q,2013-08-07,0001373715-13-000061
146,0001373715,10-Q,2013-11-04,0001373715-13-000101
147,0001373715,10-K,2014-02-28,0001373715-14-000044
148,0001373715,10-Q,2014-05-07,0001373715-14-000084
149,0001373715,10-Q,2014-08-07,0001373715-14-000151
150,0001373715,10-Q,2014-11-05,0001373715-14-000207
151,0001373715,10-K,2015-02-27,0001373715-15-000067
152,0001373715,10-Q,2015-05-07,0001373715-15-000122
153,0001373715,10-Q,2015-08-06,0001373715-15-000199
154,0001373715,10-Q,2015-11-04,0001373715-15-000260
155,0001373715,10-K,2016-02-25,0001373715-16-000324
156,0001373715,10-Q,2016-05-06,0001373715-16-000364
157,0001373715,10-Q,2016-08-03,0001373715-16-000394
158,0001373715,10-Q,2016-11-04,0001373715-16-000426
159,0001373715,10-K,2017-02-28,0001373715-17-000026
160,0001373715,10-Q,2017-05-05,0001373715-17-000050
161,0001373715,10-Q,2017-08-08,0001373715-17-000125
162,0001373715,10-Q,2017-11-06,0001373715-17-000164
163,0001373715,10-K,2018-02-28,0001373715-18-000058
164,0001373715,10-Q,2018-05-08,0001373715-18-000087
165,0001373715,10-Q,2018-08-08,0001373715-18-000157
166,0001373715,10-Q,2018-11-07,0001373715-18-000195
167,0001373715,10-K,2019-02-27,0001373715-19-000070
168,0001373715,10-Q,2019-05-03,0001373715-19-000116
169,0001373715,10-Q,2019-08-06,0001373715-19-000208
170,0001373715,10-Q,2019-10-25,0001373715-19-000267
171,0001373715,10-K,2020-02-20,0001373715-20-000072
172,0001373715,10-Q,2020-04-30,0001373715-20-000101
173,0001373715,10-Q,2020-07-30,0001373715-20-000191
174,0001373715,10-Q,2020-10-29,0001373715-20-000257
175,0001373715,10-K,2021-02-12,0001373715-21-000061
176,0001373715,10-Q,2021-04-29,0001373715-21-000114
177,0001373715,10-Q,2021-07-29,0001373715-21-000202
178,0001373715,10-Q,2021-10-28,0001373715-21-000292
179,0001373715,10-K,2022-02-03,0001373715-22-000024
180,0001373715,10-Q,2022-04-28,0001373715-22-000134
181,0001373715,10-Q,2022-07-28,0001373715-22-000241
182,0001373715,10-Q,2022-10-27,0001373715-22-000330
183,0001373715,10-K,2023-01-31,0001373715-23-000035
184,0001373715,10-Q,2023-04-27,0001373715-23-000166
185,0001373715,10-Q,2023-07-27,0001373715-23-000325
186,0001373715,10-Q,2023-10-26,0001373715-23-000419
187,0001373715,10-K,2024-01-25,0001373715-24-000030
188,0001373715,10-Q,2024-05-06,0001373715-24-000169
189,0001373715,10-Q,2024-07-25,0001373715-24-000272
190,0001373715,10-Q,2024-10-24,0001373715-24-000344
